10224,Rathaus
4441,Polizeihundetransporter,True
4442,Glider,False
4526,Batman,True
4527,Joker,True
4528,Green Lantern,True
4529,Iron Man,False
4530,Hulk,True
4597,Captain America,True
4623,Mädchen-Steinebox,False
4624,Steinebox,False
4625,Mädchen-Steinebox,True
4626,Steinebox,True
4627,Bauspaß Set,False
4628,Bauspaß Set,True
4629,Duplo Steine & Co. Bau- und Steinekiste 150 Steine,False
4630,Bau- und Spielkiste,True
4631,Bau-Lernspiel,False
4632,"""Bauplatten-Set",False
4635,"""Bausteine """"Fahrzeuge""""""",True
4636,"""Bausteine """"Polizei""""""",True
4637,Bausteine Safari,True
5882,Versteck des Coelophysis,True
5883,Pteranodon Falle,True
5884,Jagd nach dem Raptor,True
5885,Begegnung mit dem Triceratops,True
5886,T-Rex Transport-Helikopter,True
5887,Dinosaurier Forschungsstation,True
5888,Ocean Interceptor,True
6132,Red,False
6133,Das Wettrennen,False
6134,Siddeleys Rettungsaktion,False
6141,Meine erste Farm,False
6143,Rennfahrzeug,False
6144,Mein erster Schiebezug,False
6146,Abschleppwagen,False
6151,Dornröschen im Turmgemach,False
6152,Schneewittchens Hütte,False
6153,Cinderellas Prinzessinnenkutsche,False
6154,Cinderellas Märchenschloss,False
6156,Safari-Abenteuer,False
6157,Großer Stadtzoo,False
6158,Tierpflegestation,False
6168,Feuerwehr-Hauptquartier,False
6169,Feuerwehr-Hauptmann,False
6171,Tankstelle,False
6172,Zootransporter,False
6173,Pandabär,False
6200,EVO,True
6201,TOXIC REAPA,True
6202,ROCKA,True
6203,BLACK PHANTOM,True
6216,JAWBLADE,True
6217,Surge,True
6218,Splitface,True
6221,Nex,True
6222,Core Hunter,True
6223,Bulk,True
6227,Breez,True
6228,Thornraxx,True
6229,XT4,True
6230,Stormer XL,True
6231,Speeda Demon,True
6282,Stringer,True
6283,Voltix,True
6293,Furno,True
66392,"""Duplo Cars Super Pack 3 in 1 (5816",False
66409,Cars Super Pack 3 in 1 (9478 8201 9485),False
66410,"""Ninjago Super Pack 3 in 1 (9440",False
66411,Star Wars 3in1 Super Pack mit 9488 + 9489 + 9495,False
66412,"""City Super Pack 2 in 1 (7285",False
66414,"""Hero Factory Super Pack 2 in 1 (2143",False
66426,"""City Super Pack 3 in 1 (4208",False
66427,City Polizei Hubschrauber 4 in 1 Superpack / Set (4436 + 4437 +,False
66428,"""City Super Pack 4 in 1 (4436",False
66431,"""Star Wars Super Pack 3 in 1 (7914",False
66432,Star Wars Super Pack 3 in 1 (9492 + 9490 + 9496),False
66433,Super Pack 3 in 1 (8293+9392+9395),False
66434,"""Friends Super Pack 3 in 1 (3187",False
66435,"""Friends Super Pack 4 in 1 (3061",False
66436,"""City Super Pack 2 in 1 (4436",False
66437,"""Hero Factory Super Pack 2 in 1 (6216",False
66444,"""Ninjago Super Pack 3 in 1 (9441",False
66451,Working Car Special Pack (japan import),False
66452,"""Hero Factory Super Pack 2 in 1 (6282",False
6758,Die Regenbogen-Raupe,False
6759,Spaß auf dem Bauernhof,False
6760,Flieg mit! Fahr los!,False
6784,Formensortier-Eimer,False
6785,Lustiges Kuchen-Spielset,False
6857,The Dynamic Duo Funhouse Escape,True
6858,Catwoman Catcycle City Chase,True
6860,Die Bathöhle,True
6862,Superman vs Power Armor Lex,True
6863,Super Heroes Batwing Kampf über Gotham City,True
6864,Batman,True
6865,Captain America's™ Avenging Cycle,True
6866,Wolverine's Einsatz,True
6867,Loki's Flucht mit dem Kosmischen Würfel,True
6868,Hulk's Helicarrier Ausbruch,True
6869,Quinjet Aerial Battle,True
6873,Spider-Man's™ Doc Ock™ Ambush,True
6910,Mini Sportwagen,True
6911,Mini Feuerwehrlöschzug,True
6912,Jagdflugzeug,True
6913,Blaues Cabriolet,True
6914,T-Rex,True
7291,Straßenrennmaschine,True
7292,Propellerflugzeug,True
7345,Transporthubschrauber,True
7346,Strandhaus,True
7347,Abschlepptruck,True
76394,"""Fawkes",True
79000,Rätsel um den Ring,True
79001,Flucht vor den Mirkwood™ Spinnen,True
79002,Angriff der Wargs,True
79003,Die Zusammenkunft,True
79004,Die große Flucht,True
79010,Höhle des Goblin Königs,True
8827,Minifigure Series 6,False
8827,Classic Alien - Complete Set,False
8827,Roman Soldier - Complete Set,False
8827,Surgeon - Complete Set,False
8827,Skater Girl - Complete Set,False
8827,Intergalactic Girl - Complete Set,False
8827,Butcher - Complete Set,False
8827,Mechanic - Complete Set,False
8827,Genie - Complete Set,False
8827,Collectable Minifigures - LEGO Minifigures Series 6 - Complete,False
