10241,Maersk Containerschiff
10242,MINI Cooper
10243,Pariser Restaurant
10244,Jahrmarkt-Fahrgeschäft
10245,Creator Weihnachtliche Werkstatt
10521,Baby-Kalb
10522,Bauernhof-Tiere
10524,Traktor
10525,Großer Bauernhof
10526,Peter Pans Besuch
10527,Krankenwagen
10528,Schulbus
10529,Lastwagen
10532,Polizeiverfolgung
10538,Feuerwehr-Rettungsteam
10539,Seifenkistenrennen
10542,Dornröschens Schlossturm
10543,Supermans™ Rettungseinsatz
10544,Jokers Versteck
10545,Abenteuer in der Bathöhle
10546,Supermarkt
10560,Ausflug in den Dschungel
10565,Kreativ-Steinebox
10566,Lustiges Picknick
10567,Bootsspaß
10568,Ritterturnier
10569,Schatzraub
10570,Starter Steinebox
10571,Große Steinebox Mädchen
10572,Große Steinbox
10573,Lustige Tiere
10574,Bunter Eisspaß
10575,Bausteine-Würfel
10576,Zoofütterung
10577,Große Schlossburg
10579,Minnie eröffnet ein Café
10580,Deluxe Steinebox
10665,Spider-Man™: Spider-Car Verfolgung
10666,Bagger
10667,Starter Steinebox Baustelle
10668,Starter Steinebox Prinzessinnenschloss
10669,Turtle Versteck
10671,Feuerwehreinsatz
10672,Batman™: Verteidigung der Bathöhle
10673,Große Steinebox Ralley
10674,Große Steinebox Mädchen Ponyhof
10675,Polizeiwache
10676,Große Steinebox Ritterburg
10681,Bausteine-Würfel
10682,Starterkoffer
21019,Der Eiffelturm
21020,Trevi-Brunnen
21021,Marina Bay Sands
21104,NASA Mars Science Laboratory Curiosity Rover
21107,Micro World – Das Ende
21108,Ghostbusters™ Ecto-1
21109,Exo Suit
21110,Forschungsinstitut
21113,Die Höhle
21114,Die Farm
21115,Steves Haus
21116,Crafting-Box
21117,Der Enderdrache
21118,Die Mine
21204,LEGO® Fusion Town Master
21205,LEGO® Fusion Battle Towers
21206,LEGO® Fusion Create & Race
21208,LEGO® Fusion Resort Designer
30067,Duplo Farm Polybag (farmer)
30067,Duplo Farm Polybag (calf)
30067,Duplo Farm Polybag (goat)
30067,Bauer oder 1 Tier + 4 Steine (Polybeutel)
30068,"kleines Bauset -Tomate"" 6 teiliges Duplo Bauset"
30112,Emma's Flower Stand
30113,Stephanie's Bakery Stand
30114,Andrea's Beach Lounge
30115,Jungle Boat
30116,Rapunzels Marktbesuch
30187,Fast Car
30188,NEU 2014 (Exklusiv Set)
30189,Transportflugzeug (Polybeutel)
30197,Creator Holiday Christmas Snowman (Polybag)
30226,Polizei-Hubschrauber (Polybeutel)
30227,Poilzei Küstenwache Setzen 36teilig Gansterjagd
30228,Polizei ATV
30229,Repair Lift
30244,Anakin's Jedi Intercepter
30246,Star Wars Imperial Shuttle / Imperiale Raumfähre NEU 2014 exklus
30247,ARC-170 Starfighter
30262,Gorzan's Walker
30263,Spider Crawler
30264,Frax' Phoenix Flyer
30265,Worriz'' Fire Bike
30266,Sykor's Ice Cruiser
30271,Mikey's Mini-Shellraiser
30280,The Piece of Resistance
30281,Micro Manager Battle
30282,Super Secret Police Enforcer
30300,The Tumbler Polybeutel
30301,Batwing Polybeutel
30302,Spider-Man
30310,Arctic Scout
31013,Roter Hubschrauber
31014,Power Bagger
31015,Lokomotive
31017,Ralley Cabrio
31018,Chopper
31019,Urwald Tiere
31020,Flugzeug-Abenteuer
31021,Katze und Maus
31022,Turbo-Quad
31023,Gelbe Flitzer
31024,Power Racer
31025,Berghütte
31026,Fahrradladen & Café
40085,LEGO® Valentine
40086,LEGO® Easter
40090,Halloween Bat
40091,Thanksgiving Turkey
40092,Reindeer
40093,Snowman
40094,Monthly Mini Model Build January 2014 - Snowplough
40095,Monthly Mini Model Build February 2014 - Micro Manager
