10255,Stadtleben
10256,Taj Mahal
10257,Karussell
10258,Londoner Bus
10259,Winterlicher Bahnhof
10703,LEGO Kreativ-Bauset Gebäude
10704,LEGO Kreativ-Steinebox
10706,Kreativ-Box Blau
10707,Kreativ-Box Rot
10708,Kreativ-Box Grün
10709,Kreativ-Box Orange
10730,Lightning McQueens Beschleunigungsrampe
10731,Cruz Ramirez Rennsimulator
10732,Guido und Luigis Pit Stopp
10733,Hooks Schrottplatz
10734,Große Baustelle
10735,Polizei auf Verbrecherjagd
10736,Annas & Elsas Eisspielplatz
10737,Batman™ gegen Mr. Freeze™
10738,Schneewittchens Waldhütte
10739,Haiangriff
10740,Löschtrupp-Koffer
10742,Rasante Trainingsrunden in der Teufelsschanze
10743,Smokeys Garage
10744,Crazy 8 Rennen in Thunder Hollow
10745,Finale Florida 502
10746,Mias Pferdestall-Koffer
10747,Andrea & Stephanies Strandurlaub
10823,Batwing-Abenteuer
10832,Geburtstagspicknick
10833,Vorschule
10834,Pizzeria
10835,Familienhaus
10836,Stadtviertel
10837,Winterspaß mit dem Weihnachtsmann
10838,Haustiere
10839,Wurfbude
10840,Großer Jahrmarkt
10841,Jahrmarkt
10842,Abenteuer in der Bathöhle
10843,Mickys Rennwagen
10844,Minnies Boutique
10845,Mein erstes Karussell
10846,Flos Café
10847,Zahlenzug
10848,Meine ersten Bausteine
10849,Mein erstes Flugzeug
10850,Mein erster Geburtstagskuchen
10852,Mein erster Papagei
10853,LEGO® DUPLO® Kreativ-Bauset bunte Tierwelt
10854,LEGO® DUPLO® Kreativ-Steinebox
10855,Cinderellas Märchenschloss
10856,Hooks Schuppen
10857,Piston-Cup-Rennen
17101,Programmierbares Roboticset
21032,Sydney
21033,Chicago
21034,London
21035,Solomon R. Guggenheim Museum
21036,Der Triumphbogen
21129,Die Pilzinsel
21130,Die Nether-Eisenbahn
21131,Türme aus Eis
21132,Der Dschungeltempel
21133,Das Hexenhaus
21134,Unterschlupf im Wasserfall
21135,Die Crafting-Box 2.0
21136,Das Ozeanmonument
21137,Die Berghöhle
21308,Adventure Time™
21309,LEGO® NASA Apollo Saturn V
21310,Alter Angelladen
21312,Die NASA-Frauen
30321,GRATIS: LEGO® DUPLO® Ente
30352,Polizeiauto Polybeutel
30378,Donner-Quad (Polybeutel)
30522,Batman™ in der Phantom Zone (Polybeutel)
30524,Mini Batwing
30607,Batman™ im Disco-Outfit
30611,StarWars® R2-D2 (Polybeutel)
31054,Blauer Schnellzug
31055,Roter Rennwagen
31056,Grünes Cabrio
31057,Helikopter
31058,Dinosaurier
31059,Straßenrennmaschine
31060,Flugschau-Attraktionen
31062,Forschungsroboter
31063,Strandurlaub
31064,Wasserflugzeug-Abenteuer
31065,Stadthaus an der Parkstraße
31066,Forschungs-Spaceshuttle
31067,Ferien am Pool
31068,Modernes Zuhause
31069,Familienvilla
31070,Turborennwagen
40167,LEGO® DUPLO® Mein erstes Set
40170,LEGO® City Zubehörset „Ich baue meine Stadt“
40171,LEGO® Friends – Baubare Igeldose
40172,LEGO® Iconic – Stein Kalender 2019
40173,LEGO® Iconic Bilderrahmen
40174,LEGO® Iconic – Schachspiel 2017
40236,Romantisches Valentinspicknick
40237,LEGO® Ostereier Suche
40252,LEGO® VW Mini-Käfer
40260,LEGO® Halloween-Spuk
40261,LEGO® Set „Große Ernte vor dem Erntedankfest“
40262,LEGO® Fahrt mit dem Weihnachtszug
40263,LEGO® Weihnachts Stadtzentrum
40264,LEGO® Friends Zubehör-Set „Ich baue mein Heartlake City“
40268,LEGO® Star Wars R3-M2™ (Polybeutel)
41145,Arielle und der Zauberspruch
41146,Cinderellas zauberhafter Abend
41151,Mulans Training
41152,Dornröschens Märchenschloss
41153,Arielles königliches Hochzeitsboot
41154,Cinderellas Traumschloss
41155,Elsas Abenteuer auf dem Markt
41181,Naidas Gondel und der diebische Kobold
41182,Die Gefangennahme von Sophie Jones
41183,Der böse Drache des Kobold-Königs
41184,Airas Luftschiff und die Jagd nach dem Amulett
41185,Magische Rettung aus dem Kobold-Dorf
41186,Azari und die Flucht aus dem Kobold-Wald
41187,Rosalyns heilendes Versteck
41188,Ausbruch aus der Festung des Kobold-Königs
41230,Batgirl™ auf den Fersen des Batjets
41231,Harley Quinn™ eilt zu Hilfe
41233,Lashinas Action-Cruiser
41234,Bumblebees™ Hubschrauber
41235,Wonder Womans™ Schlafgemach
41236,Das Zuhause von Harley Quinn™
41237,Das Geheimversteck von Batgirl™
41238,Die Kryptomite™-Fabrik von Lena Luthor™
41239,Der dunkle Palast von Eclipso™
41315,Heartlake Surfladen
41316,Andreas Rennboot-Transporter
41317,Sonnenschein-Katamaran
41318,Heartlake Krankenhaus
41319,Kakaowagen am Wintersportort
41320,Heartlake Joghurteisdiele
41321,Geländewagen im Wintersportort
41322,Eislaufplatz im Wintersportort
41323,Chalet im Wintersportort
41324,Skilift im Wintersportort
41325,Heartlake City Spielplatz
41326,LEGO® Friends Adventskalender
41327,Mias Zimmer
41328,Stephanies Zimmer
41329,Olivias großes Zimmer
41330,Fußballtraining mit Stephanie
41332,Emmas rollender Kunstkiosk
41333,Olivias Rettungsfahrzeug
41334,Andreas Bühne im Park
41335,Mias Baumhaus
41336,Emmas Künstlercafé
41338,Stephanies Sportstadion
41339,Mias Wohnmobil
41340,Freundschaftshaus
41487,Lloyd
41585,Batman™
41586,Batgirl™
41587,Robin™
41588,The Joker™
41589,Captain America
41590,Iron Man
41591,Black Widow
41592,The Hulk
41593,Captain Jack Sparrow
41594,Captain Armando Salazar
41595,Belle
41596,Beast
42061,Teleskoplader
42062,Container-Transport
42063,BMW R 1200 GS Adventure
42064,Forschungsschiff
42066,Air Race Jet
42068,Flughafen-Löschfahrzeug
42069,Extremgeländefahrzeug
42070,Allrad-Abschleppwagen
42071,Kompaktor
42072,ZACK!
42073,BUMMS!
42074,Rennyacht
42075,First Responder
42076,Luftkissenboot
42077,Rallyeauto
42078,Mack Anthem
42084,Absetzkipper
60135,Gangsterjagd auf dem Quad
60136,Polizei-Starter-Set
60137,Abschleppwagen auf Abwegen
60138,Rasante Verfolgungsjagd
60139,Mobile Einsatzzentrale
60140,Bankraub mit Planierraupe
60141,Polizeiwache
60142,Geldtransporter
60143,Überfall auf Autotransporter
60144,Rennflugzeug
60145,Buggy
60146,Monster-Truck
60147,Angelyacht
60148,Quad-Rennteam
60149,Geländewagen mit Katamaran
60150,Pizzawagen
60151,Dragster-Transporter
60152,Straßenreiniger und Bagger
60153,Stadtbewohner – Ein Tag am Strand
60154,Busbahnhof
60155,LEGO® City Adventskalender
60156,Dschungel-Buggy
60157,Dschungel-Starter-Set
60158,Dschungel-Frachthubschrauber
60159,Mission mit dem Dschungel-Halbkettenfahrzeug
60160,Mobiles Dschungel-Labor
60161,Dschungel-Forschungsstation
60162,Dschungel-Versorgungshubschrauber
60163,Küstenwache-Starter-Set
60164,Rettungsflugzeug
60165,Geländewagen mit Rettungsboot
60166,Seenot-Rettungshubschrauber
60167,Küstenwachzentrum
60168,Segelboot in Not
60169,Frachtterminal
60170,Offroad-Verfolgungsjagd
60171,Verfolgung durch die Berge
60172,Verfolgungsjagd auf Schotterpisten
60173,Festnahme in den Bergen
60174,Hauptquartier der Bergpolizei
60175,Überfall auf dem Gebirgsfluss
60176,Flucht durch die Stromschnellen
70353,Der Gargoyl-Heli
70354,Axls Krawallmacher
70355,Aarons Klettermaxe
70356,Der stürmische Steinkoloss
70357,Schloss Knighton
70358,Aarons Flex-Dragster
70359,Lance gegen Lightning
70361,Macys Robo-Abwurfdrache
70373,Combo NEXO Kräfte
70606,Spinjitzu-Training
70607,Verfolgungsjagd in NINJAGO® City
70608,Meister Wu's Wasser-Fall
70609,Mantarochen-Flieger
70610,Turbo Qualle
70611,Nya's Wasser-Walker
70612,Mech-Drache des Grünen Ninja
70613,Garmadon's Robo-Hai
70614,Jay's Jet-Blitz
70615,Kai's Feuer-Mech
70616,Zane's Eis-Raupe
70617,Ultimativ ultimatives Tempel-Versteck
70618,Ninja-Flugsegler
70620,NINJAGO® City
70621,Vermillion Falle
70622,Wüstenflitzer
70623,Schatten des Ninja-Flugseglers
70624,Vermillion Eindringling
70625,Samurai Turbomobil
70626,Verhängnisvolle Dämmerung
70627,Drachenschmiede
70628,Spinjitzu-Meister Lloyd
70629,Piranha-Angriff
70631,Garmadons Vulkanversteck
70632,Cole's Donner-Mech
70656,"Garmadon, Garmadon, GARMADON!"
70900,Jokers Flucht mit den Ballons
70901,Mr. Freeze™ Eisattacke
70902,Catwoman™: Catcycle-Verfolgungsjagd
70903,The Riddler™: Riddle Racer
70904,Clayface™: Matsch-Attacke
70905,Das Batmobil
70906,Jokers berüchtigter Lowrider
70907,Killer Crocs Truck
70908,Der Scuttler
70909,Batcave-Einbruch
70910,Scarecrows Speziallieferung
70911,Der Arktisflitzer des Pinguins
70912,Arkham Asylum
70913,Kräftemessen mit Scarecrow™
70914,Der Gifttruck von Bane™
70915,Doppeltes Unheil durch Two-Face™
70916,Batwing
70917,Das ultimative Batmobil
70922,The Joker™ Manor
71017,THE LEGO® BATMAN MOVIE
71018,Serie 17
71019,THE LEGO® NINJAGO® MOVIE™
71042,Silent Mary
71255,Teen Titans Go!™ Team-Pack
71264,THE LEGO® BATMAN MOVIE Story-Pack
71266,LEGO® City Spaß-Paket
71267,Goonies™ Level-Paket
71286,Knight-Rider™-Spaß-Paket
71287,Teen Titans Go!™ Fun-Pack
71343,The Powerpuff Girls™ Fun-Pack
71344,Excalibur Batman™-Spaß-Paket
71346,The Powerpuff Girls™ Team-Pack
71348,Harry Potter™ Spaß-Paket
71349,Beetlejuice™ Fun-Pack
75144,Snowspeeder™
75160,U-Wing™ Microfighter
75161,TIE Striker™ Microfighter
75162,Y-Wing™ Microfighter
75163,Krennic's Imperial Shuttle™ Microfighter
75164,Rebel Trooper Battle Pack
75165,Imperial Trooper Battle Pack
75166,First Order Transport Speeder Battle Pack
75167,Bounty Hunter Speeder Bike™ Battle Pack
75168,Yoda's Jedi Starfighter™
75169,Duel on Naboo™
75171,Battle on Scarif
75172,Y-Wing Starfighter™
75173,Luke's Landspeeder™
75174,Desert Skiff Escape
75175,A-Wing Starfighter™
75176,Resistance Transport Pod™
75177,First Order Heavy Scout Walker™
75178,Jakku Quadjumper™
75179,Kylo Ren's TIE Fighter™
75180,Rathtar™ Escape
75182,Republic Fighter Tank™
75183,Darth Vader™ Transformation
75184,LEGO® Star Wars™ Adventskalender
75185,Tracker I
75186,The Arrowhead
75187,BB-8™
75188,Resistance Bomber
75189,First Order Heavy Assault Walker™
75190,First Order Star Destroyer™
75191,Jedi Starfighter™ With Hyperdrive
75192,Millennium Falcon™
